#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	magChain	suscChain	deco	measure	err_magx	err_magy	err_magz	err_deco	err_magChain	err_suscChain	
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 0.000000000000000000e+00 1.562500000000000000e-02 1.000000000000158817e-01 8.520521771553681845e-01 7.477327999063453215e-15 5.035733517130714931e-01 7.228543436361922758e-01 5.487940611668088664e+00 9.852189094058137059e-03 1.000000000000000000e+04 1.924945339566647758e-04 9.407788389740646613e-18 1.860427023603678420e-04 4.928628976013448124e-05 8.457477071539435754e-04 3.924683338565254816e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 5.000000000000794087e-02 1.562500000000000000e-02 1.000000000000158817e-01 8.520521488802381693e-01 -9.116925149012396722e-06 5.035732041046045993e-01 7.227990060249558368e-01 5.487318569857198902e+00 9.852000343277043590e-03 1.000000000000000000e+04 1.925157965454810051e-04 6.816728620331702706e-06 1.860501687745425416e-04 4.928467430016630609e-05 8.454981316450733975e-04 3.919099043005479059e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 1.000000000000158817e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.520520615013529309e-01 -1.904746100498867184e-05 5.035727625558139575e-01 7.226347530580670142e-01 5.485480355032039235e+00 9.851436327522106531e-03 1.000000000000000000e+04 1.925795731810566141e-04 1.362989997311650213e-05 1.860724372543196014e-04 4.927982705233671830e-05 8.447971088102279678e-04 3.903161434995984155e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 1.500000000000179246e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.520958012987132069e-01 -2.982436219679423562e-05 5.035390260716067212e-01 7.224046797362880801e-01 5.481443179550618439e+00 9.492102986675901230e-03 1.000000000000000000e+04 2.697121163209695890e-04 2.140140079008770972e-05 2.578955263902630397e-04 6.538889410665510589e-05 1.158998289389694993e-03 5.387362359402098066e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 2.000000000000317635e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.520955737388632434e-01 -4.364249328724912854e-05 5.035375555120747970e-01 7.218810071707849607e-01 5.475671591505367530e+00 9.490304573849129427e-03 1.000000000000000000e+04 2.698594484755916846e-04 3.007388921856922205e-05 2.579354576053117598e-04 6.537623637193343881e-05 1.157490745463246639e-03 5.353072179708599082e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 2.500000000000000000e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.523847464111000694e-01 -5.261913095020268624e-05 5.032714863014363660e-01 7.222777168374802104e-01 5.471361112443037911e+00 9.070976853378476951e-03 1.000000000000000000e+04 3.241441234909842625e-04 3.943136955434946571e-05 3.082300859908310414e-04 7.579708312210990944e-05 1.375830226592362256e-03 6.446526134457597132e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 3.000000000000358491e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.523843734111904435e-01 -6.801946751035375396e-05 5.032684033705132620e-01 7.212444788228271619e-01 5.460211029892050760e+00 9.067410605745597485e-03 1.000000000000000000e+04 3.243920402101419182e-04 4.948627477816316798e-05 3.082823609511026121e-04 7.577341478882060821e-05 1.373592212620344593e-03 6.397182177854878783e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 3.499999999999403588e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.524428968012432994e-01 -8.442756165339724921e-05 5.032095283176449829e-01 7.202077573982361702e-01 5.447522617383634191e+00 8.719695932521533480e-03 1.000000000000000000e+04 3.736662348503276988e-04 6.025761803242791754e-05 3.534930224342178119e-04 8.410824566532835956e-05 1.567828646174871483e-03 7.370567028146344374e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 4.000000000000635270e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.524422731616334570e-01 -1.171775866543219702e-04 5.032041727510050411e-01 7.185616597082354895e-01 5.430308934186135694e+00 8.713928362257195720e-03 1.000000000000000000e+04 3.740291459984139942e-04 7.155913640164362566e-05 3.535457382454228322e-04 8.406993433421184442e-05 1.565356713245554150e-03 7.312727135702139399e-03
8.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e-01 2.026311804140414410e-02 2.026311804140414410e-02 4.499999999999155231e-01 1.562500000000000000e-02 1.000000000000158817e-01 8.524517955796040436e-01 -1.588196250971256307e-04 5.031957517305490901e-01 7.165274090867230772e-01 5.409647866742636424e+00 8.389992589880932924e-03 1.000000000000000000e+04 4.165897924152444027e-04 8.370194080693442288e-05 3.917607151156171706e-04 8.988818400010863770e-05 1.730598190809168021e-03 8.189558888501098644e-03
