#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	magChain	suscChain	deco	measure	err_magx	err_magy	err_magz	err_deco	err_magChain	err_suscChain	
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 0.000000000000000000e+00 1.000000000000142615e-02 1.000000000000158817e-01 8.523409706247715434e-01 6.915320502226311683e-14 5.031939307324225785e-01 7.040477884902913708e-01 6.514893283792582146e+00 9.886846101782075305e-03 1.000000000000000000e+04 1.678463371230287985e-04 6.670085973598770253e-17 1.598047076826426198e-04 4.221430686215518546e-05 6.994741721735520589e-04 3.875351455486768498e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 5.000000000000794087e-02 1.000000000000142615e-02 1.000000000000158817e-01 8.523409617256196835e-01 -3.594863278220913892e-06 5.031938634427544077e-01 7.040148732976690971e-01 6.514414093216107204e+00 9.886753701849125553e-03 1.000000000000000000e+04 1.678579791365122551e-04 4.674054233820400707e-06 1.598078842971228963e-04 4.221370545579935808e-05 6.992656508111926104e-04 3.871048919787126001e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 1.000000000000158817e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.523409340275788226e-01 -7.584758735314452215e-06 5.031936624676631720e-01 7.039171549638691960e-01 6.512996507312938554e+00 9.886477246594898433e-03 1.000000000000000000e+04 1.678928986189539858e-04 9.345123176666774071e-06 1.598173746069563809e-04 4.221190043789446641e-05 6.986710149481590226e-04 3.858779790715460671e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 1.500000000000179246e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.522750956739227890e-01 -1.361037489529041482e-05 5.032436201835818190e-01 7.035989845724704983e-01 6.511220010760331078e+00 9.665529393298632338e-03 1.000000000000000000e+04 2.333576643419582174e-04 1.469284483284942429e-05 2.225642561665480625e-04 5.852679047560873840e-05 9.747899183287174257e-04 5.451648442342892260e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 2.000000000000317635e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.522750096803447528e-01 -2.111093391924904344e-05 5.032429411326260205e-01 7.032816788847572331e-01 6.506667968851697736e+00 9.664639879523826207e-03 1.000000000000000000e+04 2.334394139829253046e-04 2.070481926620405846e-05 2.225865768249673073e-04 5.852184450082040669e-05 9.734469908318296597e-04 5.423776013735407721e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 2.500000000000000000e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.523172535020606677e-01 -2.890465601411002481e-05 5.031977037599382196e-01 7.030245001684261030e-01 6.501519743621608782e+00 9.408201885889878532e-03 1.000000000000000000e+04 2.829503593847229018e-04 2.738180440686720105e-05 2.688888482545841456e-04 6.937742294666070946e-05 1.172409566479613776e-03 6.590736253785042277e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 3.000000000000358491e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.523170809266997772e-01 -4.077544770698688926e-05 5.031962921709254299e-01 7.023873902160768790e-01 6.492583597509442583e+00 9.406389910465599857e-03 1.000000000000000000e+04 2.830898173530674842e-04 3.444563565496920572e-05 2.689226288548051953e-04 6.936745217281397756e-05 1.170590621057038911e-03 6.551282440184825508e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 3.499999999999403588e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.521866493378794649e-01 -5.791679747786264892e-05 5.033070995390895863e-01 7.011876334422204593e-01 6.481062473011017566e+00 9.180103743615069048e-03 1.000000000000000000e+04 3.319543416505958081e-04 4.234843136375523711e-05 3.130505780522441933e-04 7.747119613621770431e-05 1.350207226964687899e-03 7.542054579548348840e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 4.000000000000635270e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.521863006813559238e-01 -8.257398062933363268e-05 5.033047127735708060e-01 7.001784261477769222e-01 6.467260821565300688e+00 9.177102338250215513e-03 1.000000000000000000e+04 3.321582781230528409e-04 5.034316674057702284e-05 3.130876653192331163e-04 7.745331598920317901e-05 1.348134092691091095e-03 7.498195652947880693e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 4.499999999999155231e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.525221056429318489e-01 -9.952601682730126658e-05 5.029979436219420563e-01 7.002278148943730240e-01 6.456129372228883057e+00 8.858298593684791125e-03 1.000000000000000000e+04 3.606236895059707851e-04 5.874964715638282022e-05 3.387860123475063641e-04 8.191777690434010441e-05 1.457776624481639830e-03 8.291760981375833478e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 5.000000000000000000e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.525215350294728101e-01 -1.301671459351377966e-04 5.029944530225288757e-01 6.988087491995450540e-01 6.437397429420116168e+00 8.853971838041941808e-03 1.000000000000000000e+04 3.609008791006543498e-04 6.737970060446258052e-05 3.388224939736252041e-04 8.189156719668719319e-05 1.455998889054618568e-03 8.250240769082041806e-03
1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000158817e-01 1.333521432159954535e-02 1.333521432159954535e-02 5.500000000001021849e-01 1.000000000000142615e-02 1.000000000000158817e-01 8.526215841966120479e-01 -1.755442999375057659e-04 5.029037471672388460e-01 6.975321586826173093e-01 6.416976259914626723e+00 8.602554926970193416e-03 1.000000000000000000e+04 3.900136013984725606e-04 7.661105276849351580e-05 3.660065424667997163e-04 8.724078497906052453e-05 1.572811099239860601e-03 9.055547309263944911e-03
