#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 0.000000000000000000e+00 3.750000000000053204e-03 9.999999999999828471e-03 4.004660353440959164e-01 -1.637828649646800015e-13 7.635924047367796952e-01 1.266507063147810086e-01 1.070000000000000000e+03 1.698429734779179339e-03 1.561843306822059396e-16 3.969905317962888684e-04 4.139980022556214736e-04
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 4.999999999999915623e-02 3.750000000000053204e-03 9.999999999999828471e-03 3.971475660464908741e-01 1.222886138476682616e-05 7.644218375305633639e-01 1.185030803860826071e-01 1.070000000000000000e+03 4.309626775008931591e-03 3.596256234162400990e-05 1.000986305598390710e-03 8.718566528717066298e-04
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 9.999999999999831246e-02 3.750000000000053204e-03 9.999999999999828471e-03 3.935502260735296853e-01 -5.013828966851297171e-05 7.651386134184264831e-01 1.093137263414506177e-01 1.070000000000000000e+03 6.034979101802824195e-03 9.303520047415723276e-05 1.405053673002885917e-03 1.140119416099576221e-03
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 1.500000000000029921e-01 3.750000000000053204e-03 9.999999999999828471e-03 3.895416324511556949e-01 -1.808148704709122093e-04 7.659042540326418402e-01 1.008409942453948188e-01 1.070000000000000000e+03 7.293016484040618606e-03 1.624417545997065989e-04 1.697324533252543739e-03 1.300657350349451692e-03
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 1.999999999999966249e-01 3.750000000000053204e-03 9.999999999999828471e-03 3.874579024089348511e-01 -3.267974993581237346e-04 7.662607269186559877e-01 9.351272900459194071e-02 1.070000000000000000e+03 8.194892948232473939e-03 2.456852236133379597e-04 1.895474446502665427e-03 1.392291825931614045e-03
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 2.500000000000000000e-01 3.750000000000053204e-03 9.999999999999828471e-03 3.825305997633028365e-01 -5.274100326826373789e-04 7.671184798611010436e-01 8.699001778776929705e-02 1.070000000000000000e+03 8.994894525743053065e-03 3.438166464237752285e-04 2.074863969562803449e-03 1.441033880307029079e-03
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 3.000000000000059841e-01 3.750000000000053204e-03 9.999999999999828471e-03 3.809809126261111123e-01 -7.413579373284806713e-04 7.672237434870700090e-01 8.151419677712830325e-02 1.070000000000000000e+03 9.563992668490901849e-03 4.422379967625387196e-04 2.205927189730637339e-03 1.471731826169418028e-03
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 3.500000000000044742e-01 3.750000000000053204e-03 9.999999999999828471e-03 3.740878586936770001e-01 -9.447459187953369947e-04 7.688363187141765698e-01 7.541610800760284450e-02 1.070000000000000000e+03 1.022816441281464671e-02 5.543170232880931594e-04 2.359941140487646204e-03 1.481329916358309308e-03
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 3.999999999999932498e-01 3.750000000000053204e-03 9.999999999999828471e-03 3.762570946406740835e-01 -1.411442385126053609e-03 7.688034016820203265e-01 7.054166758164727435e-02 1.070000000000000000e+03 1.056314949759340135e-02 6.789447230255928577e-04 2.468638138446901942e-03 1.488178528694223974e-03
8.000000000000000000e+00 1.024999999999991029e+00 1.250000000000000000e-01 2.026311804139984546e-02 4.052623608279964582e-03 4.499999999999921840e-01 3.750000000000053204e-03 9.999999999999828471e-03 3.796606463141558585e-01 -1.719182137120084906e-03 7.677185244677382503e-01 6.548307223113486453e-02 1.070000000000000000e+03 1.093641631187853951e-02 7.982178354108833114e-04 2.551230912528348275e-03 1.481636048563719386e-03
