#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.250000000000000000e+00 4.999999999999911633e-03 9.999999999999823266e-03 4.003544454754267568e-01 -7.182556276136458848e-03 7.547873965173700350e-01 2.208742396620606840e-02 1.208000000000000000e+03 1.287866159973398948e-02 3.484899719705487117e-03 3.009856090260728569e-03 8.177108483455039012e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.299999999999972067e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.973381480220805062e-01 -7.291612745353626308e-03 7.546080900303145933e-01 2.096402550807791379e-02 1.208000000000000000e+03 1.299632253429943221e-02 3.608008959398559083e-03 3.036344248352551914e-03 7.878516560346917426e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.349999999999976330e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.972493113845254609e-01 -8.365548623797054370e-03 7.535636940788714710e-01 2.054328404621942258e-02 1.208000000000000000e+03 1.303166703725793830e-02 3.755711688236661790e-03 3.042780554235500947e-03 7.862393994839287845e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.400000000000026112e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.968984776747740972e-01 -9.573734137934305014e-03 7.524108303774394990e-01 1.981684579664822268e-02 1.208000000000000000e+03 1.310000691262203261e-02 3.889418384573660632e-03 3.050489346291312878e-03 7.641064123038065125e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.450000000000029932e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.983953569712524456e-01 -1.160600177749622486e-02 7.509157127543282240e-01 1.903491110520647706e-02 1.208000000000000000e+03 1.313897900263901602e-02 4.025429244464381537e-03 3.056514447475472233e-03 7.344592798580188353e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.500000000000000000e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.977209083686911728e-01 -1.391307193110831626e-02 7.496462098891364390e-01 1.839128314391021840e-02 1.208000000000000000e+03 1.320630390565570057e-02 4.171120564950214597e-03 3.068429006903161758e-03 7.209664249414581829e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.549999999999969180e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.975158908631906685e-01 -1.512471486758304451e-02 7.481925473439545726e-01 1.777665924170875392e-02 1.208000000000000000e+03 1.326490932824587327e-02 4.320873847631668228e-03 3.085529524423685083e-03 6.979726018223757255e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.599999999999965672e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.982269279539140117e-01 -1.663778935020517394e-02 7.462930514886921829e-01 1.761533216222390535e-02 1.208000000000000000e+03 1.329382360863583246e-02 4.463258027046453080e-03 3.100403245077081298e-03 7.178262095854569215e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.650000000000035882e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.972860347989108920e-01 -1.850402278871391901e-02 7.451424591292008515e-01 1.742347573669747116e-02 1.208000000000000000e+03 1.333440916293023547e-02 4.592131669599166209e-03 3.109696149608906762e-03 7.142346323369037648e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.700000000000031486e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.972905855548698462e-01 -1.977285127166204456e-02 7.433767888137157165e-01 1.689032412563247487e-02 1.208000000000000000e+03 1.340507696288339816e-02 4.709175413409156206e-03 3.116026654349419306e-03 6.866958315516935758e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.750000000000000000e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.977400071930141112e-01 -2.170542365393502565e-02 7.413143020438682784e-01 1.684697346241584986e-02 1.208000000000000000e+03 1.344258997815814954e-02 4.834101212773568232e-03 3.123567545896769465e-03 7.123198376191605501e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.799999999999980504e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.971209202825846107e-01 -2.378128150562340559e-02 7.395677975366468093e-01 1.638785660824418691e-02 1.208000000000000000e+03 1.351153941127973372e-02 4.968753623275857373e-03 3.132291881973401585e-03 6.922698603062214665e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.849999999999957900e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.966635090089192239e-01 -2.544634968809868225e-02 7.379716667806024422e-01 1.619845440556941588e-02 1.208000000000000000e+03 1.356180643875153254e-02 5.075650091622577707e-03 3.142814310432309050e-03 6.873039919939402274e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.900000000000043210e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.954947497342846674e-01 -2.772198032518868177e-02 7.362176051362308016e-01 1.624234261920068020e-02 1.207000000000000000e+03 1.360821355228238050e-02 5.213618136853977528e-03 3.151731331812112138e-03 6.873885043910313688e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.950000000000004174e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.961679847874577387e-01 -2.938208452637210838e-02 7.340748138345725149e-01 1.603657687858795269e-02 1.207000000000000000e+03 1.364043477790256864e-02 5.356197010723263464e-03 3.159027266133074361e-03 6.520521459670111262e-04
