#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	magChain	suscChain	deco	measure	err_magx	err_magy	err_magz	err_deco	err_magChain	err_suscChain	
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 6.999999999998750555e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.526410336070917584e-01 -2.269705602064578322e-04 5.028556229394538502e-01 6.790489603473568447e-01 7.327561986629291368e+00 8.742039608743966753e-03 1.100000000000000000e+04 3.535682494382330491e-04 7.474574626633108301e-05 3.328976368881278697e-04 8.304203668633084845e-05 1.417461105079587894e-03 9.857861342975672916e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 7.500000000000000000e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.528442131507589785e-01 -2.679985941878067364e-04 5.026609685140014383e-01 6.780356869992560931e-01 7.305140562012164551e+00 8.519771030024329145e-03 1.100000000000000000e+04 3.724796509612473584e-04 8.222642911999615101e-05 3.501724291057288084e-04 8.604723156128925212e-05 1.491529407511088144e-03 1.048581725932087004e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 8.000000000000691003e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.528429731974872530e-01 -3.288721436632081386e-04 5.026573856143580210e-01 6.761228053792399662e-01 7.277523617329014094e+00 8.514318880262720241e-03 1.100000000000000000e+04 3.727829916440149457e-04 8.951157405878732646e-05 3.502161903899164881e-04 8.602107748326434731e-05 1.492283549774297766e-03 1.048160859333651697e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 8.500000000001762812e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.530248809327066750e-01 -3.880346694841361977e-04 5.024925660513799297e-01 6.745975329074355153e-01 7.249468864790037159e+00 8.298081667524121602e-03 1.100000000000000000e+04 3.903820599443793660e-04 9.764212332838722761e-05 3.658740414206570796e-04 8.815654611379828136e-05 1.560203157405407092e-03 1.106693018266528133e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 8.999999999998132827e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.530231034437451010e-01 -4.671084299126421484e-04 5.024880426753820517e-01 6.723972627495806709e-01 7.219066565073328334e+00 8.291640891498572308e-03 1.100000000000000000e+04 3.907395388810986801e-04 1.052611371884063673e-04 3.659134770260940184e-04 8.812232268710382479e-05 1.561927504025497617e-03 1.107025844184079608e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 9.500000000000565770e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.529857396461785202e-01 -5.523431758565950809e-04 5.025302561877975638e-01 6.698377216615889473e-01 7.184408573770046047e+00 8.144152052418926827e-03 1.100000000000000000e+04 4.091550771473603538e-04 1.133058693224991048e-04 3.822992304974110953e-04 9.088445440044540474e-05 1.633258081987294620e-03 1.169563400449776490e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.000000000000000000e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.529832250102955538e-01 -6.568742032721323074e-04 5.025246089471983035e-01 6.673642411436886412e-01 7.151660622525239042e+00 8.136790538722786514e-03 1.100000000000000000e+04 4.095694985498078092e-04 1.212927961128421571e-04 3.823255445716222624e-04 9.084352190550929926e-05 1.635672548847315376e-03 1.170199012536222646e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.049999999999879474e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.530235388093603266e-01 -7.753761506958390922e-04 5.024781689922882544e-01 6.646779868679979497e-01 7.115574104668517919e+00 7.946903717709763101e-03 1.100000000000000000e+04 4.297498738562913049e-04 1.298258740143098174e-04 3.994937235295740411e-04 9.271347100054866722e-05 1.707639017447025974e-03 1.228869368934652068e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.100000000000219025e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.530200375881378250e-01 -9.076524835641825144e-04 5.024711618888303422e-01 6.619250749429005376e-01 7.080730946329308217e+00 7.938699681647445536e-03 1.100000000000000000e+04 4.302246949648578437e-04 1.382068464598811214e-04 3.994938741557569001e-04 9.266354037526675373e-05 1.710834337374202629e-03 1.229710989663047871e-02
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.149999999999774758e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.531098017696615576e-01 -1.055870253306338998e-03 5.023728155351586677e-01 6.594456182737842287e-01 7.047384651515550935e+00 7.757030844874708217e-03 1.100000000000000000e+04 4.464113519884497453e-04 1.470950072016603024e-04 4.134461866930588922e-04 9.419516138849246998e-05 1.772295347129509068e-03 1.283243022558686573e-02
