#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	magChain	suscChain	deco	measure	err_magx	err_magy	err_magz	err_deco	err_magChain	err_suscChain	
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 0.000000000000000000e+00 2.777777777780211788e-02 1.000000000000158817e-01 8.520386407006681484e-01 5.606496991612421670e-16 5.037553875976876760e-01 7.500751102796099357e-01 4.404041071354218850e+00 9.607240625762968750e-03 1.000000000000000000e+04 2.340679085908596883e-04 9.027493347955129406e-18 2.232509212685133591e-04 5.409403110121855908e-05 1.023037195308759044e-03 3.454287666357434405e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 5.000000000000794087e-02 2.777777777780211788e-02 1.000000000000158817e-01 8.520386670387221084e-01 6.158595352909342250e-06 5.037548598212204798e-01 7.499727075833411138e-01 4.403203579534968881e+00 9.606790149572438237e-03 1.000000000000000000e+04 2.341123861516587149e-04 1.071551881173970020e-05 2.232579654266439906e-04 5.408933414006276302e-05 1.022506343475574004e-03 3.445591470097762819e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 1.000000000000158817e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.520387379567874175e-01 1.037966545291458420e-05 5.037532777614376345e-01 7.496690174457828482e-01 4.400733679590393521e+00 9.605447880413621811e-03 1.000000000000000000e+04 2.342457786023914134e-04 2.142151489484922405e-05 2.232787091851738692e-04 5.407526305402132792e-05 1.021000913045590729e-03 3.420687386793305664e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 1.500000000000179246e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.520213995594282386e-01 1.098645765786923601e-05 5.037625291398225569e-01 7.490688594044667692e-01 4.396382932154296874e+00 9.097139034485555650e-03 1.000000000000000000e+04 3.306958186279471590e-04 3.379458131327812184e-05 3.136497464015568725e-04 7.284542496137462735e-05 1.429318385229461997e-03 4.909996101656159857e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 2.000000000000317635e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.520214659506151200e-01 3.419546510806052630e-06 5.037573112556291699e-01 7.481087854585836139e-01 4.388725762830930854e+00 9.092995814830317353e-03 1.000000000000000000e+04 3.310063593045739494e-04 4.755661455424865981e-05 3.136786701406473615e-04 7.280799726751852074e-05 1.426018634724174946e-03 4.856233125007628978e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 2.500000000000000000e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.520223720764175113e-01 -1.451124994598922637e-05 5.037553766643275699e-01 7.468059055273225111e-01 4.378558896258001099e+00 8.579723945954926406e-03 1.000000000000000000e+04 4.043440481026824309e-04 6.265841238660141150e-05 3.814526088935321180e-04 8.425461470890714525e-05 1.722303638072917534e-03 5.940927583071727545e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 3.000000000000358491e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.520221244937320471e-01 -4.788974616207688378e-05 5.037445968098701599e-01 7.449372989419096314e-01 4.364073928897151511e+00 8.571818045359927765e-03 1.000000000000000000e+04 4.048644388984035201e-04 7.875587310873220532e-05 3.814683205070860277e-04 8.418565819330897269e-05 1.717294194106981642e-03 5.861230123823182002e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 3.499999999999403588e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.516712037733524809e-01 -1.284994618317093404e-04 5.040577208666389142e-01 7.411505465582386432e-01 4.342474101303963607e+00 8.098630424052528226e-03 1.000000000000000000e+04 4.791632558636355695e-04 9.665666301095006028e-05 4.467366661488738960e-04 9.192230295710214581e-05 1.989554887304184269e-03 6.834447523129921764e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 4.000000000000635270e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.516697596324785957e-01 -2.227613080692037774e-04 5.040389508679510300e-01 7.382309920504555034e-01 4.320706683097567335e+00 8.086423491383307877e-03 1.000000000000000000e+04 4.799323514785194377e-04 1.151250121922685094e-04 4.466558760699946640e-04 9.181215667554159415e-05 1.983285481649672399e-03 6.739491631630235326e-03
6.000000000000000000e+00 1.000000000000000000e+00 1.666666666669829600e-01 3.475092791279720678e-02 3.475092791279720678e-02 4.499999999999155231e-01 2.777777777780211788e-02 1.000000000000158817e-01 8.516313663080680163e-01 -3.292872974836844892e-04 5.040563146521898075e-01 7.347242136701399584e-01 4.296000591295840110e+00 7.605791865592619917e-03 1.000000000000000000e+04 5.323445722874408769e-04 1.349798981371863366e-04 4.923409654757598519e-04 9.617553780157752947e-05 2.176350023684399133e-03 7.502280916132634224e-03
