#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 0.000000000000000000e+00 5.555555555559977578e-03 1.000000000000049460e-02 3.996742039728798934e-01 2.795577738640232936e-15 7.644862932923248700e-01 1.254541496300449199e-01 2.619000000000000000e+03 1.334071254880755215e-03 5.271681007586143556e-18 3.112135630430288300e-04 3.235460142989790154e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 4.999999999999828887e-02 5.555555555559977578e-03 1.000000000000049460e-02 3.994691463221123340e-01 4.713085316119458243e-05 7.645151995027631431e-01 1.160630375471424502e-01 2.619000000000000000e+03 2.936872255887621949e-03 3.273375787984736677e-05 6.857732352678300473e-04 6.183998284973853338e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 9.999999999999657774e-02 5.555555555559977578e-03 1.000000000000049460e-02 3.950954302422480802e-01 7.583533765106928979e-05 7.654458782641991865e-01 1.053228274430319106e-01 2.619000000000000000e+03 4.141265480309860338e-03 8.576391171095752849e-05 9.631051744636518743e-04 7.910893527821451048e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 1.499999999999946931e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.925541390209050796e-01 3.640149611029367397e-05 7.662286640984099506e-01 9.576276666265411130e-02 2.619000000000000000e+03 4.934127701364646873e-03 1.545115388489788362e-04 1.151281016665841326e-03 8.839084284770656582e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 1.999999999999931555e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.892552913704327988e-01 3.243992596819639159e-05 7.667878040114014526e-01 8.746051566779590447e-02 2.619000000000000000e+03 5.563131845774892635e-03 2.307201190917295742e-04 1.301316151498351035e-03 9.306972390481077755e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 2.500000000000000000e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.917379494562715503e-01 -7.749493784521527913e-05 7.662150789680878260e-01 7.900698312604347018e-02 2.619000000000000000e+03 6.052752259251449954e-03 3.146468908508990399e-04 1.418813905954416843e-03 9.603852193212158257e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 2.999999999999893863e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.908153826436602252e-01 -1.981921451659484918e-04 7.663207159575347038e-01 7.259941876220100954e-02 2.619000000000000000e+03 6.436187108966638995e-03 4.078049906694779301e-04 1.505310327433206355e-03 9.685172120796185259e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 3.500000000000152434e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.953527250828028916e-01 -2.764975393914421075e-04 7.650539908041701365e-01 6.605278334980586863e-02 2.619000000000000000e+03 6.743984458561366573e-03 5.025370404239856139e-04 1.581947853959572757e-03 9.623415198130424574e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 3.999999999999863110e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.977055258365979618e-01 -3.575087952403120575e-04 7.644975918294110162e-01 6.094766575021847571e-02 2.619000000000000000e+03 6.978829953558867046e-03 6.034918967115718031e-04 1.637224152500270065e-03 9.505462646195977482e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 4.500000000000222156e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.984109231632249615e-01 -2.948828901824239760e-04 7.643545069470175646e-01 5.598594641360826046e-02 2.619000000000000000e+03 7.211641848572901588e-03 7.128570471240507642e-04 1.700694664905815509e-03 9.297518067887555228e-04
6.000000000000000000e+00 1.033333333329990555e+00 1.666666666670100772e-01 3.475092791279997539e-02 6.950185582550004113e-03 5.000000000000000000e-01 5.555555555559977578e-03 1.000000000000049460e-02 3.986236258039554947e-01 -6.560422548738702913e-04 7.640009997426018273e-01 5.152110165046268342e-02 2.619000000000000000e+03 7.428058170637904384e-03 8.298330864036319518e-04 1.759546113562601667e-03 9.099347859846173897e-04
