#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 0.000000000000000000e+00 3.124999999999880478e-03 1.000000000000034889e-02 3.975361898476679756e-01 -1.640362805672792313e-13 7.642400140971273848e-01 1.265901517979759194e-01 2.304000000000000000e+03 1.395336094252355328e-03 1.267013717766055443e-16 3.214840567945204488e-04 2.829380753372313473e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 4.999999999999808764e-02 3.124999999999880478e-03 1.000000000000034889e-02 4.002138352735906679e-01 1.246201610764807629e-05 7.636707731588425752e-01 1.203076689874275629e-01 2.304000000000000000e+03 2.567319264641497716e-03 2.283117981640950622e-05 6.039130686960203108e-04 5.475621097790611940e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 9.999999999999617528e-02 3.124999999999880478e-03 1.000000000000034889e-02 3.998309971113874761e-01 3.582494826447187654e-05 7.637481702527394445e-01 1.130290150280367639e-01 2.304000000000000000e+03 3.558261669460235574e-03 5.664681689198364906e-05 8.334311703216967793e-04 7.198234277351351490e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 1.499999999999970801e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.989515238379530704e-01 6.316983663673210654e-05 7.639865633922093835e-01 1.056589541882616140e-01 2.304000000000000000e+03 4.343491167784595784e-03 1.006265379651391734e-04 1.015036169980450481e-03 8.337461799731456626e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 1.999999999999923506e-01 3.124999999999880478e-03 1.000000000000034889e-02 4.004579615628911515e-01 8.870337075886769310e-05 7.636512795970428202e-01 9.896176602377092235e-02 2.304000000000000000e+03 4.906522158095319788e-03 1.512970037791173982e-04 1.151102029992694727e-03 9.086143196661298008e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 2.500000000000000000e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.969153245031800115e-01 1.288297590003119645e-04 7.642745446928131958e-01 9.270047788528180954e-02 2.304000000000000000e+03 5.476509860902084061e-03 2.064875495805260162e-04 1.279711554722651494e-03 9.558254933936005974e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 2.999999999999941602e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.974762486539016315e-01 2.155726588051501381e-04 7.643174222003893403e-01 8.651153315579220016e-02 2.304000000000000000e+03 5.903374387686476099e-03 2.682919101305949496e-04 1.379628054856998432e-03 9.887888831554682376e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 3.500000000000142442e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.965472091754536077e-01 2.375772097545405517e-04 7.647840631344184903e-01 8.134391338990744347e-02 2.304000000000000000e+03 6.249168378375780618e-03 3.412160439678028488e-04 1.467942440326888741e-03 1.003199022153220205e-03
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 3.999999999999847011e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.971961961978976996e-01 2.776513590914433905e-04 7.647815595487930107e-01 7.658646564687318636e-02 2.304000000000000000e+03 6.533296787372715707e-03 4.113670602402243691e-04 1.542626836823696992e-03 1.008136589308466363e-03
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 4.500000000000190514e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.962871728947923722e-01 3.226632314011777304e-04 7.648243776813569150e-01 7.155930066362768682e-02 2.304000000000000000e+03 6.858046217953378022e-03 4.808858155508084330e-04 1.618437166415429311e-03 1.009513758198745618e-03
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 5.000000000000000000e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.940006126652806362e-01 1.755461148006848846e-04 7.655872850347722469e-01 6.737112195498945466e-02 2.304000000000000000e+03 7.117787439624934098e-03 5.591408285007983111e-04 1.680090940310425196e-03 1.002737439604325887e-03
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 5.499999999999761746e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.936998486073149395e-01 1.164265109079159761e-04 7.655519905188148400e-01 6.328460311918256143e-02 2.304000000000000000e+03 7.351913581406629289e-03 6.393105391138606802e-04 1.736116473345875738e-03 9.903588406749647480e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 5.999999999999883205e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.916334087730917179e-01 1.634081847862239791e-04 7.657490951493048925e-01 5.963953119318262525e-02 2.304000000000000000e+03 7.583528083147738665e-03 7.142987203454377425e-04 1.786737579769404624e-03 9.795566215506890887e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 6.500000000000177858e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.924381833846607992e-01 5.917052497464851441e-05 7.652620345980378769e-01 5.546154115748033742e-02 2.304000000000000000e+03 7.802939808334886061e-03 7.933921217673265509e-04 1.837205956716968626e-03 9.562422865470025400e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 7.000000000000284883e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.936858500658209636e-01 -3.017776613397622851e-04 7.648179257362316408e-01 5.229600578412094136e-02 2.304000000000000000e+03 7.950316084174846587e-03 8.816137606843327474e-04 1.877254564674545913e-03 9.379985102997926566e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 7.500000000000000000e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.931193199103287239e-01 -3.664221351969160364e-04 7.645203262448913017e-01 4.941889541350690668e-02 2.304000000000000000e+03 8.112960273188514135e-03 9.648458896209566359e-04 1.909852105891032999e-03 9.260052642700356863e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 7.999999999999694023e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.927734047552339236e-01 -4.823496518174752380e-04 7.646591471947411511e-01 4.695071451718124678e-02 2.304000000000000000e+03 8.228927827318703592e-03 1.050902051814395048e-03 1.936029637670665104e-03 9.060990182835527854e-04
8.000000000000000000e+00 1.025000000000044542e+00 1.250000000000000000e-01 2.026311804139928341e-02 4.052623608280013154e-03 8.499999999999650058e-01 3.124999999999880478e-03 1.000000000000034889e-02 3.932840890039360215e-01 -9.667521394528336967e-04 7.642143702488277679e-01 4.410936682666295044e-02 2.304000000000000000e+03 8.366218599293416894e-03 1.137691569866685877e-03 1.966743835231879716e-03 8.823651924533402373e-04
