#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.299999999999977840e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.946273073270425424e-01 -2.137500301951042372e-03 7.628882007339522486e-01 4.169164821198714788e-02 9.080000000000000000e+02 1.347509557029662360e-02 2.318220652755059816e-03 3.171059504184499216e-03 1.357819046197688813e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.349999999999998535e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.950087378227408741e-01 -2.113674705111292986e-03 7.625013604941606182e-01 4.022165281517880303e-02 9.080000000000000000e+02 1.357874336442520431e-02 2.449659762413541452e-03 3.190770212520851936e-03 1.335328707594581879e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.400000000000004796e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.961356631044967713e-01 -2.485887989602321522e-03 7.620590527492789867e-01 3.893472856061324511e-02 9.080000000000000000e+02 1.365412495056044992e-02 2.541752212419020728e-03 3.203434492616019820e-03 1.313236946841577976e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.450000000000024603e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.962039870334977953e-01 -2.839778840699479050e-03 7.617774497262188582e-01 3.762406629520307494e-02 9.080000000000000000e+02 1.375131681654463874e-02 2.636920266806176173e-03 3.225428167333060838e-03 1.285993069339999703e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.500000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.988284836286536961e-01 -3.512416125197210647e-03 7.607812191801379686e-01 3.597425797967404582e-02 9.080000000000000000e+02 1.383701293082458678e-02 2.744166864709845968e-03 3.234785983723809880e-03 1.241822275825633448e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.549999999999974065e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.995081705466486111e-01 -3.987627871693107985e-03 7.601694659914757235e-01 3.492674626447054426e-02 9.080000000000000000e+02 1.390841876361406139e-02 2.866851927092154903e-03 3.244188938113840796e-03 1.225681851541701901e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.599999999999984324e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.982355117986844939e-01 -4.564743731970109103e-03 7.600837884608631079e-01 3.353812379097561441e-02 9.080000000000000000e+02 1.404503663411739607e-02 2.922835223340929881e-03 3.270546650642814843e-03 1.204099813939906068e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.650000000000017897e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.989537994302702062e-01 -5.401342892750373575e-03 7.596605759219867693e-01 3.276964512271527546e-02 9.080000000000000000e+02 1.408241316954384446e-02 3.034936077952258161e-03 3.276967319318777570e-03 1.189830808440949178e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.700000000000027711e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.983153463481056145e-01 -5.433095487185748973e-03 7.594025632393331948e-01 3.185357947168841047e-02 9.080000000000000000e+02 1.416245186188976393e-02 3.135029398320683842e-03 3.296952195869800543e-03 1.166427191315361819e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.750000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.981211535790055156e-01 -6.517338813120727992e-03 7.589099446985918540e-01 3.131405881295269700e-02 9.080000000000000000e+02 1.421113614636360795e-02 3.243322663308856931e-03 3.311492499708752323e-03 1.164998158079297687e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.799999999999971401e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.977392204956630151e-01 -6.782733369109028923e-03 7.584472455124092738e-01 3.020505481899697642e-02 9.080000000000000000e+02 1.430779100440445102e-02 3.339760350683583512e-03 3.334886630838215012e-03 1.149813242179654115e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.849999999999974110e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.973269288569529212e-01 -7.670769287198024936e-03 7.581197485297066496e-01 2.951447909062477129e-02 9.080000000000000000e+02 1.436722211468758302e-02 3.434673282213343472e-03 3.345035966467631728e-03 1.138744255907481098e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.900000000000027667e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.973460870460188699e-01 -8.757399985412682789e-03 7.577179037412078433e-01 2.842574761749795328e-02 9.080000000000000000e+02 1.444977000672810832e-02 3.507775785997809675e-03 3.366821402523409012e-03 1.114217080047337277e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.950000000000029932e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.964466540987105492e-01 -8.810586743919201005e-03 7.576193486041246095e-01 2.774259704824321923e-02 9.080000000000000000e+02 1.450392223947247032e-02 3.608661965413422802e-03 3.391772284165350468e-03 1.097606254176733799e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.000000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.971537133698601063e-01 -9.936411261377712037e-03 7.570637377903104426e-01 2.722983649068914588e-02 9.080000000000000000e+02 1.452879770653005102e-02 3.699931085093090179e-03 3.395573807590830835e-03 1.083710013487329841e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.049999999999969180e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.938777191840091008e-01 -9.284882885512804954e-03 7.574941808802782006e-01 2.669858570883157714e-02 9.080000000000000000e+02 1.461666264653026411e-02 3.772619811986955597e-03 3.427219585435506508e-03 1.066976240751708145e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.099999999999966338e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.938703373190307055e-01 -9.603878986187979958e-03 7.568161315999905048e-01 2.629093447148767720e-02 9.080000000000000000e+02 1.466072133179018543e-02 3.861810479063211218e-03 3.435619852331355667e-03 1.063650040918607230e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.150000000000034994e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.946586618082107978e-01 -9.961676025417665406e-03 7.558647736182918520e-01 2.586837688714272929e-02 9.080000000000000000e+02 1.469043281357946575e-02 3.975398455161061398e-03 3.444496177745822417e-03 1.047305742250061655e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.200000000000031708e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.949236045592215416e-01 -1.108916095610443936e-02 7.553050650258430476e-01 2.522386183225748882e-02 9.080000000000000000e+02 1.473911405515361019e-02 4.041836752053101257e-03 3.463215204190658262e-03 1.022725841698471057e-03
