#step   L   g   lambda  kappa  h   time    p   tm  magx    magy    magz
380	8	1.0625	0.125	0.020263118	0.020263118	11.4	0.0009765625	0.0009765625	0.635821631810541	0.1761001675213243	0.6236111901227737	
390	8	1.0625	0.125	0.020263118	0.020263118	11.7	0.0009765625	0.0009765625	0.6423484338222215	0.1721952926294367	0.618860770956694	
400	8	1.0625	0.125	0.020263118	0.020263118	12	0.0009765625	0.0009765625	0.6487270449763013	0.1682191940924961	0.6148900677181759	
410	8	1.0625	0.125	0.020263118	0.020263118	12.3	0.0009765625	0.0009765625	0.6549579402073289	0.1643421382902991	0.6116653298842277	
420	8	1.0625	0.125	0.020263118	0.020263118	12.6	0.0009765625	0.0009765625	0.661048094652143	0.1607379069570158	0.6091416835944039	
430	8	1.0625	0.125	0.020263118	0.020263118	12.9	0.0009765625	0.0009765625	0.6670109436295107	0.1575781135683001	0.6072735022813386	
440	8	1.0625	0.125	0.020263118	0.020263118	13.2	0.0009765625	0.0009765625	0.6728664238418022	0.1550386719511626	0.606000648187716	
450	8	1.0625	0.125	0.020263118	0.020263118	13.5	0.0009765625	0.0009765625	0.6786410637616721	0.1532920285555213	0.6052282163292942	
460	8	1.0625	0.125	0.020263118	0.020263118	13.8	0.0009765625	0.0009765625	0.6843674498873762	0.1524862160940863	0.6048231549243461	
470	8	1.0625	0.125	0.020263118	0.020263118	14.1	0.0009765625	0.0009765625	0.6900831352929081	0.1527376923085787	0.6046167079219245	
480	8	1.0625	0.125	0.020263118	0.020263118	14.4	0.0009765625	0.0009765625	0.6958292653977107	0.1541168109922911	0.6044166379783593	
490	8	1.0625	0.125	0.020263118	0.020263118	14.7	0.0009765625	0.0009765625	0.7016482836148252	0.1566194719734857	0.604041803063664	
500	8	1.0625	0.125	0.020263118	0.020263118	15	0.0009765625	0.0009765625	0.7075811507304105	0.1601762705795903	0.6033425674942762	
510	8	1.0625	0.125	0.020263118	0.020263118	15.3	0.0009765625	0.0009765625	0.7136656091859376	0.1646905687978736	0.6021942235143506	
520	8	1.0625	0.125	0.020263118	0.020263118	15.6	0.0009765625	0.0009765625	0.7199356559687369	0.1700614570895013	0.6004879749272342	
530	8	1.0625	0.125	0.020263118	0.020263118	15.9	0.0009765625	0.0009765625	0.7264215984985166	0.1761939133918162	0.5981214773010631	
540	8	1.0625	0.125	0.020263118	0.020263118	16.2	0.0009765625	0.0009765625	0.7331502561193578	0.1829941828180893	0.5949927069721949	
