#L   g   lambda  kappa  time  t_KZ   magx    magy    magz    magGSx  magGSy  magGSz  adiabaticity
6	0.9	1	0.5	0	0.1	-7.043731612587114e-13	-2.599446331830929e-14	0.1942926175500689	1.17187467871478e-12	-8.618934435609978e-15	0.1942926175500689	1	
6	0.91	1	0.5	0.001	0.1	-7.043991553484833e-13	-2.599371624939084e-14	0.1942926180453374	-2.398538749713958e-13	1.065073858179713e-14	0.1955836878028889	0.9999829750936711	
6	0.92	1	0.5	0.002	0.1	-7.044251486917753e-13	-2.599297101034368e-14	0.1942926215122081	7.665104931642946e-13	-8.115608345044951e-15	0.1969223500179517	0.9999316636380438	
6	0.93	1	0.5	0.003	0.1	-7.044511412923712e-13	-2.599223150877584e-14	0.1942926309224006	-4.331496413288567e-13	-1.477741360288497e-15	0.1983097511192295	0.9998457139481053	
6	0.94	1	0.5	0.004	0.1	-7.044771331579545e-13	-2.599150163153245e-14	0.1942926492478756	-9.179815017755995e-13	6.363193694760844e-15	0.1997470258911654	0.9997247795017462	
6	0.95	1	0.5	0.005	0.1	-7.045031243000825e-13	-2.599078524398881e-14	0.1942926794609653	-8.295677558855341e-14	-8.763673046126697e-18	0.2012352944228774	0.9995685197149932	
6	0.96	1	0.5	0.006	0.1	-7.045291147341709e-13	-2.599008618935229e-14	0.1942927245345134	-3.794909196165834e-14	7.811214998081813e-15	0.202775659488167	0.9993766007420704	
6	0.97	1	0.5	0.007	0.1	-7.045551044794625e-13	-2.598940828797223e-14	0.1942927874420193	-5.173415533127796e-14	-2.369704557704733e-15	0.2043692038673551	0.999148696298868	
6	0.98	1	0.5	0.008	0.1	-7.045810935590124e-13	-2.598875533665809e-14	0.1942928711577946	1.080723790265957e-12	8.769498297708229e-15	0.2060169876176141	0.9988844885082285	
6	0.99	1	0.5	0.009	0.1	-7.046070819996577e-13	-2.598813110800675e-14	0.1942929786571215	2.945720213725136e-13	-1.788054893402288e-14	0.2077200452989915	0.9985836687652861	
6	1	1	0.5	0.01	0.1	-7.046330698319981e-13	-2.598753934973761e-14	0.1942931129164242	-1.957222572232889e-13	2.064867667567067e-14	0.2094793831639828	0.9982459386208469	
6	1.01	1	0.5	0.011	0.1	-7.046590570903665e-13	-2.598698378403646e-14	0.1942932769134422	4.087161542947282e-14	6.403426558425744e-15	0.2112959763190158	0.997871010680682	
6	1.02	1	0.5	0.012	0.1	-7.046850438128063e-13	-2.598646810690768e-14	0.1942934736274175	-3.091503875756933e-13	-1.184258454366085e-14	0.2131707658668492	0.9974586095183373	
6	1.03	1	0.5	0.013	0.1	-7.047110300410422e-13	-2.598599598753511e-14	0.1942937060392821	2.787600015433435e-13	1.535697944457913e-14	0.2151046560393402	0.9970084725989354	
6	1.04	1	0.5	0.014	0.1	-7.047370158204564e-13	-2.598557106765118e-14	0.1942939771318604	-1.04614290386749e-13	-1.098342411160211e-14	0.2170985113306464	0.996520351211211	
6	1.05	1	0.5	0.015	0.1	-7.047630012000552e-13	-2.598519696091496e-14	0.1942942898900713	1.902162691034824e-13	-7.098522500139229e-15	0.2191531536413131	0.995994011404871	
6	1.06	1	0.5	0.016	0.1	-7.047889862324491e-13	-2.598487725229797e-14	0.1942946473011451	-2.397514437169384e-13	2.193142245117724e-14	0.2212693594442329	0.9954292349301819	
6	1.07	1	0.5	0.017	0.1	-7.048149709738156e-13	-2.59846154974794e-14	0.194295052354845	1.729400552293051e-14	-9.739276077241722e-16	0.2234478569837775	0.9948258201765149	
6	1.08	1	0.5	0.018	0.1	-7.048409554838735e-13	-2.598441522224941e-14	0.1942955080436908	-3.447835259936655e-14	2.641219816502765e-15	0.2256893235197954	0.9941835831064521	
6	1.09	1	0.5	0.019	0.1	-7.048669398258527e-13	-2.598427992192099e-14	0.1942960173632013	-7.595307391669655e-13	6.066315309702851e-15	0.2279943826284666	0.9935023581818809	
6	1.1	1	0.5	0.02	0.1	-7.048929240664634e-13	-2.598421306075049e-14	0.1942965833121321	-1.255816270112284e-13	-5.178900039269515e-15	0.2303636015721816	0.9927819992783933	
6	1.11	1	0.5	0.021	-0.1	-7.049189082758627e-13	-2.598421807136708e-14	0.1942972088927313	-5.21850674302752e-14	4.225834473723451e-15	0.2327974887508185	0.9920223805842137	
6	1.1	1	0.5	0.022	-0.1	-7.04944892527305e-13	-2.598429706324791e-14	0.1942978961202413	-7.484234652331415e-14	1.522025489664995e-14	0.230363601572182	0.9927818726141431	
6	1.09	1	0.5	0.023	-0.1	-7.049708768935608e-13	-2.598444697345597e-14	0.1942986430505449	5.820616104355694e-13	8.570051959979182e-15	0.2279943826284671	0.993501850892746	
6	1.08	1	0.5	0.024	-0.1	-7.049968614433846e-13	-2.598466348058273e-14	0.1942994467514464	8.602234058783795e-15	-3.796234725267118e-15	0.2256893235197946	0.9941824403451034	
6	1.07	1	0.5	0.025	-0.1	-7.050228462412277e-13	-2.598494230063368e-14	0.1943003042930719	5.372920653298276e-13	-2.201707386440591e-14	0.2234478569837768	0.9948237862900646	
6	1.06	1	0.5	0.026	-0.1	-7.050488313472773e-13	-2.598527918592664e-14	0.1943012127476207	3.467553488548088e-13	-1.778572559750576e-14	0.221269359444233	0.9954260535401046	
6	1.05	1	0.5	0.027	-0.1	-7.050748168174884e-13	-2.598566992399679e-14	0.1943021691891189	-7.567275758737387e-14	3.58948514339648e-15	0.219153153641313	0.9959894254855897	
6	1.04	1	0.5	0.028	-0.1	-7.051008027036229e-13	-2.598611033650947e-14	0.194303170693192	-2.094852151712258e-13	-4.486230723184564e-15	0.2170985113306466	0.9965141031672853	
